player,position,team,age,touches,dribbles_completed,goals,shots,shots_on_target,passes_completed,passes,assists,tackles_won
Salman Al-Faraj,MF,Saudi Arabia,33,19,0,0,0,0,12,16,0,0
Sam Adekugbe,DF,Canada,27,77,1,0,0,0,63,71,0,0
Saman Ghoddos,MF,IR Iran,29,24,0,0,1,0,15,20,0,0
Sami Al-Najei,MF,Saudi Arabia,25,25,0,0,0,0,13,21,0,0
Samuel Oum Gouet,MF,Cameroon,25,65,0,0,0,0,52,59,0,1
Sardar Azmoun,FW,IR Iran,27,40,0,0,5,3,18,30,0,0
Saud Abdulhamid,DF,Saudi Arabia,23,150,2,0,1,0,88,122,0,2
Saša Lukić,MF,Serbia,26,182,0,0,1,0,143,162,0,0
Sebastian Szymański,MF,Poland,23,61,1,0,0,0,26,41,0,3
Sebastián Coates,DF,Uruguay,32,107,0,0,1,0,76,93,0,0
Selim Amallah,MF,Morocco,26,145,1,0,2,0,65,87,0,9
Sergio Busquets,MF,Spain,34,309,1,0,2,0,261,289,0,4
Sergio Rochet,GK,Uruguay,29,88,0,0,0,0,54,78,0,0
Sergiño Dest,DF,United States,22,250,5,0,6,0,172,200,1,2
Shaquell Moore,DF,United States,26,27,0,0,0,0,14,21,0,2
Shogo Taniguchi,DF,Japan,31,105,0,0,2,0,72,85,0,0
Shūichi Gonda,GK,Japan,33,124,0,0,0,0,68,113,0,0
Silvan Widmer,DF,Switzerland,29,208,1,0,1,0,127,169,1,6
Simon Kjær,DF,Denmark,33,68,0,0,0,0,50,59,0,0
Sofiane Boufal,FW,Morocco,29,199,14,0,7,1,99,133,0,5
Sofyan Amrabat,MF,Morocco,26,383,0,0,1,0,269,322,0,10
Son Heung-min,FW,Korea Republic,30,158,3,0,9,3,77,115,1,2
Son Jun-ho,MF,Korea Republic,30,68,0,0,0,0,55,59,0,3
Sorba Thomas,MF,Wales,23,6,0,0,0,0,3,4,0,1
Srđan Babić,DF,Serbia,26,16,0,0,0,0,10,16,0,0
Stefan Mitrović,DF,Serbia,32,22,0,0,0,0,18,21,0,0
Stephen Eustáquio,MF,Canada,25,109,1,0,3,0,83,93,0,2
Steve Mandanda,GK,France,37,32,0,0,0,0,19,31,0,0
Steven Berghuis,MF,Netherlands,30,141,1,0,5,0,97,131,1,1
Steven Bergwijn,FW,Netherlands,25,85,1,0,2,0,64,72,0,1
Steven Vitória,DF,Canada,35,203,0,0,0,0,160,186,0,3
Sultan Al-Ghanam,DF,Saudi Arabia,28,68,0,0,2,0,34,52,0,0
Taha Yassine Khenissi,FW,Tunisia,30,8,0,0,1,0,2,6,0,0
Tajon Buchanan,MF,Canada,23,131,7,0,5,0,61,89,1,1
Takefusa Kubo,FW,Japan,21,23,0,0,0,0,6,11,0,1
Takehiro Tomiyasu,DF,Japan,24,118,0,0,0,0,73,103,0,0
Takumi Minamino,FW,Japan,27,32,0,0,2,1,14,22,0,1
Tarek Salman,DF,Qatar,25,14,0,0,0,0,7,10,0,0
Tariq Lamptey,DF,Ghana,22,50,0,0,1,0,21,34,0,1
Teun Koopmeiners,MF,Netherlands,24,149,1,0,2,1,90,119,1,5
Thiago Almada,MF,Argentina,21,15,0,0,0,0,13,13,0,0
Thiago Silva,DF,Brazil,38,368,0,0,2,0,322,344,1,1
Thibaut Courtois,GK,Belgium,30,129,1,0,0,0,108,123,0,0
Thilo Kehrer,DF,Germany,26,43,0,0,0,0,22,29,0,2
Thomas Delaney,MF,Denmark,31,31,0,0,0,0,24,29,0,1
Thomas Meunier,DF,Belgium,31,167,1,0,3,1,110,147,0,6
Thomas Müller,FW,Germany,33,91,0,0,3,0,56,78,0,2
Thomas Partey,MF,Ghana,29,220,3,0,2,0,146,176,0,5
Thorgan Hazard,FW,Belgium,29,66,0,0,0,0,40,58,0,2
Tim Ream,DF,United States,35,305,2,0,1,0,245,276,0,3
Timothy Castagne,DF,Belgium,27,229,0,0,0,0,176,202,0,4
Toby Alderweireld,DF,Belgium,33,303,0,0,0,0,248,273,1,2
Trent Alexander-Arnold,DF,England,24,24,0,0,0,0,21,23,0,0
Tyler Adams,MF,United States,23,307,1,0,1,0,241,271,0,9
Unai Simón,GK,Spain,25,167,0,0,0,0,150,160,0,0
Uriel Antuna,FW,Mexico,25,33,0,0,2,1,12,20,0,3
Vanja Milinković-Savić,GK,Serbia,25,136,0,0,0,0,90,125,0,0
Victor Nelsson,DF,Denmark,24,79,0,0,0,0,69,74,0,0
Vincent Janssen,FW,Netherlands,28,32,1,0,2,0,16,20,0,0
Virgil van Dijk,DF,Netherlands,31,399,0,0,3,0,311,356,0,1
Vitinha,MF,Portugal,22,118,1,0,2,2,100,108,0,2
Wajdi Kechrida,DF,Tunisia,27,77,0,0,0,0,44,69,0,3
Walid Cheddira,FW,Morocco,24,18,0,0,2,1,4,8,0,0
Walker Zimmerman,DF,United States,29,274,0,0,1,0,217,244,0,2
Wataru Endo,MF,Japan,29,239,1,0,6,1,155,192,0,4
Wayne Hennessey,GK,Wales,35,68,0,0,0,0,50,66,0,0
Weston McKennie,MF,United States,24,177,1,0,5,1,117,153,0,1
William Carvalho,MF,Portugal,30,182,0,0,1,0,156,170,0,5
William Saliba,DF,France,21,38,1,0,0,0,37,37,0,0
Wojciech Szczęsny,GK,Poland,32,159,0,0,0,0,84,142,0,0
Wéverton,GK,Brazil,35,5,0,0,0,0,3,5,0,0
Xavi Simons,FW,Netherlands,19,11,0,0,0,0,6,10,0,0
Yahya Attiat Allah,DF,Morocco,27,167,0,0,2,0,98,137,1,2
Yahya Jabrane,MF,Morocco,31,0,0,0,0,0,0,0,0,0
Yann Sommer,GK,Switzerland,34,126,0,0,0,0,108,118,0,0
Yannick Carrasco,FW,Belgium,29,68,1,0,4,0,39,46,0,4
Yasser Al-Shahrani,DF,Saudi Arabia,30,43,0,0,0,0,13,29,0,1
Yassine Bounou,GK,Morocco,31,219,0,0,0,0,154,209,0,0
Yassine Meriah,DF,Tunisia,29,208,2,0,1,0,139,171,0,2
Youri Tielemans,MF,Belgium,25,77,0,0,0,0,53,64,0,1
Youssef Msakni,MF,Tunisia,32,95,4,0,9,2,50,69,0,1
Youssouf Fofana,MF,France,23,138,2,0,4,0,96,112,0,5
Youssouf Sabaly,DF,Senegal,29,253,4,0,2,1,189,219,0,6
Youssoufa Moukoko,FW,Germany,18,2,0,0,0,0,1,2,0,0
Youstin Salas,DF,Costa Rica,26,27,1,0,0,0,15,19,0,1
Yuki Soma,FW,Japan,25,26,1,0,3,0,11,19,0,0
Yunus Musah,MF,United States,20,221,4,0,4,1,151,182,0,6
Yuto Nagatomo,MF,Japan,36,123,3,0,0,0,78,109,0,2
Álvaro Zamora,MF,Costa Rica,20,9,0,0,0,0,5,5,0,0
Ángel Correa,MF,Argentina,27,6,0,0,0,0,3,3,0,1
Ángelo Preciado,DF,Ecuador,24,162,0,0,4,0,94,129,1,5
Éder Militão,DF,Brazil,24,306,0,0,5,1,251,277,0,6
Óscar Duarte,DF,Costa Rica,33,132,0,0,0,0,68,98,0,2
