player,position,team,age,minutes_played,touches,dribbles_completed,goals,shots,shots_on_target,passes_completed,passes,assists,tackles_won,overall_0-100,value_(€)
Antony,FW,Brazil,22,171,145,4,0,6,2,86,109,0,0,79,39500000
B. Davies,DF,Wales,29,234,184,2,0,3,2,122,161,0,2,79,16000000
D. Kamada,FW,Japan,26,324,139,3,0,6,1,83,104,0,3,79,24000000
C. Gakpo,FW,Netherlands,23,450,205,5,3,5,3,93,148,0,2,79,28000000
O. Giroud,FW,France,36,423,111,0,4,16,6,48,74,0,0,79,8500000
C. Wilson,FW,England,30,45,16,0,0,0,0,9,10,1,0,79,17500000
D. Klaassen,MF,Netherlands,29,189,96,0,1,2,1,59,77,2,2,79,17500000
M. Thuram,FW,France,25,153,74,6,0,1,0,27,39,2,2,79,27500000
N. Gudelj,MF,Serbia,31,90,59,0,0,0,0,44,52,0,2,79,15000000
N. Maksimovic,MF,Serbia,27,125,75,0,0,0,0,50,57,0,2,79,23000000
Munir,GK,Morocco,33,90,31,0,0,0,0,19,28,0,0,79,21000000
L. Jovic,FW,Serbia,24,36,14,0,0,2,0,6,10,0,0,79,27000000
N. Elvedi,DF,Switzerland,26,180,165,0,0,1,0,131,142,0,0,79,22500000
M. Taremi,FW,IR Iran,30,270,123,1,2,5,1,58,78,1,3,79,18000000
I. Konaté,DF,France,23,297,283,0,0,2,1,216,236,0,6,78,29500000
J. David,FW,Canada,22,189,84,0,0,8,1,41,60,0,1,78,32000000
G. Montiel,DF,Argentina,25,117,95,0,0,1,0,69,81,0,2,78,21000000
I. Sarr,FW,Senegal,24,342,133,9,1,10,1,52,81,0,2,78,31000000
M. Vecino,MF,Uruguay,31,198,130,0,0,1,1,76,106,0,3,78,13500000
G. Rodríguez,MF,Argentina,28,54,69,0,0,0,0,54,64,0,0,78,15000000
W. Endo,MF,Japan,29,306,239,1,0,6,1,155,192,0,4,78,13500000
H. Seferovic,FW,Switzerland,30,72,20,0,0,1,0,10,14,0,0,78,14000000
M. Cash,DF,Poland,25,360,197,1,0,1,0,123,160,0,3,78,20000000
A. Diallo,DF,Senegal,26,333,210,0,0,1,0,139,186,0,2,78,17500000
A. Guardado,MF,Mexico,36,45,22,0,0,0,0,11,16,0,2,78,4800000
N. Aké,DF,Netherlands,27,477,393,0,0,0,0,315,349,0,3,78,16500000
D. Vlahovic,FW,Serbia,22,81,19,0,1,3,3,6,11,0,0,78,29000000
Pedro,FW,Brazil,25,62,25,0,0,4,1,10,13,0,2,78,9000000
Y. Fofana,MF,France,23,225,138,2,0,4,0,96,112,0,5,78,21500000
M. Paalic,FW,Croatia,27,270,132,0,0,3,0,76,95,0,5,78,17500000
N. Lang,MF,Netherlands,23,9,5,0,0,0,0,1,3,0,0,78,28500000
R. Steffen,FW,Switzerland,31,36,19,0,0,0,0,13,15,0,0,78,14000000
C. Kouyaté,MF,Senegal,32,72,34,1,0,0,0,19,23,0,0,78,9500000
E. Camavinga,DF,France,20,144,138,1,0,0,0,88,100,0,9,78,29500000
R. Bentancur,MF,Uruguay,25,216,197,3,0,3,1,136,160,0,8,78,21000000
R. Saïss,DF,Morocco,32,468,248,1,1,1,1,159,199,0,2,78,9500000
A. Budimir,FW,Croatia,31,54,12,0,0,1,0,2,5,0,1,78,14000000
F. Caicedo,DF,Ecuador,25,270,233,0,0,1,0,168,208,1,2,78,11500000
M. Ryan,GK,Australia,30,360,176,0,0,0,0,113,164,0,0,77,8500000
V. Aboubakar,FW,Cameroon,30,144,50,5,2,6,3,20,31,1,0,77,10500000
T. Adams,MF,United States,23,360,307,1,0,1,0,241,271,0,9,77,15500000
J. Doku,MF,Belgium,20,18,16,2,0,0,0,8,14,0,0,77,23000000
O. Pineda,MF,Mexico,26,72,46,0,0,4,1,18,25,0,3,77,14000000
