player,position,team,age,minutes_played,touches,dribbles_completed,goals,shots,shots_on_target,passes_completed,passes,assists,tackles_won,overall_0-100,value_(€)
C. Nørgaard,MF,Denmark,28,9,15,0,0,0,0,14,15,0,0,74,4600000
B. Rahman,DF,Ghana,28,180,121,1,0,0,0,66,100,0,3,74,4500000
S. Boufal,FW,Morocco,29,477,199,14,0,7,1,99,133,0,5,74,4500000
T. Lamptey,DF,Ghana,22,99,50,0,0,1,0,21,34,0,1,74,9000000
C. Larin,FW,Canada,27,135,44,1,0,3,1,21,29,0,0,74,5000000
U. Antuna,FW,Mexico,25,81,33,0,0,2,1,12,20,0,3,74,6500000
D. Ward,GK,Wales,29,90,42,0,0,0,0,24,39,0,0,74,3000000
T. Almada,MF,Argentina,21,9,15,0,0,0,0,13,13,0,0,74,10000000
T. Weah,FW,United States,22,315,132,2,1,5,3,90,108,0,0,74,8500000
A. Jahanbakhsh,MF,IR Iran,29,62,27,1,0,3,0,11,17,0,1,73,3200000
V. Nelsson,DF,Denmark,24,90,79,0,0,0,0,69,74,0,0,73,6500000
S. Szymanski,MF,Poland,23,135,61,1,0,0,0,26,41,0,3,73,0
S. Mitrovic,DF,Serbia,32,36,22,0,0,0,0,18,21,0,0,73,2100000
M. Hongla,MF,Cameroon,24,117,73,2,0,1,1,49,61,0,0,73,6500000
F. Mladenovic,DF,Serbia,31,62,29,0,0,1,0,20,25,0,0,73,3000000
Y. Nagatomo,MF,Japan,36,206,123,3,0,0,0,78,109,0,2,73,1100000
M. Yoshida,DF,Japan,34,387,277,1,0,0,0,198,232,1,4,73,2000000
M. Mohammadi,DF,IR Iran,29,198,90,0,0,0,0,44,68,0,3,73,2900000
M. Degenek,DF,Australia,28,180,123,0,0,0,0,67,101,0,4,73,0
M. Veljkovic,DF,Serbia,27,225,127,0,0,0,0,98,112,0,1,73,3600000
N. Schlotterbeck,DF,Germany,23,90,135,0,0,0,0,110,123,0,3,73,6500000
T. Asano,FW,Japan,28,162,49,0,1,8,2,21,28,0,0,73,3300000
